job_name,raw_time,job_length_seconds
3DS,0:00:21,21
3DS,0:00:22,22
3DS,0:00:22,22
3DS,0:00:22,22
3DS,0:00:24,24
3DS,0:00:25,25
3DS,0:00:28,28
3DS,0:00:33,33
3DS,0:07:22,442
3DS,0:07:30,450
3DS,0:07:50,470
3DS,0:07:52,472
3DS,0:08:01,481
3DS,0:08:06,486
3DS,0:08:08,488
3DS,0:08:30,510
3DS,0:08:39,519
3DS,0:11:30,690
3DS,0:11:57,717
3DS,0:12:04,724
3DS,0:13:15,795
3DS,0:18:12,1092
3DS,0:19:39,1179
3DS,0:31:25,1885
3DS,0:31:46,1906
3DS,0:32:22,1942
3DS,0:32:38,1958
3DS,0:33:02,1982
3DS,0:33:04,1984
3DS,0:37:22,2242
3DS,0:48:36,2916
3DS,1:18:24,4704
3DS_3DS,0:00:01,1
3DS_3DS,1:49:03,6543
3DS_3DS,1:50:24,6624
3DS_3DS,1:51:05,6665
3DS_3DS,1:55:41,6941
3DS_3DS,1:56:08,6968
3DS_3DS,1:56:57,7017
3DS_3DS,1:57:55,7075
3DS_3DS,1:59:54,7194
3DS_3DS,2:02:16,7336
3DS_3DS,2:02:28,7348
3DS_3DS,2:03:47,7427
3DS_3DS,2:07:27,7647
3DS_3DS,2:11:50,7910
3DS_3DS,2:20:15,8415
3DS_3DS,2:24:29,8669
3DS_3DS,2:26:02,8762
3DS_3DS,2:26:36,8796
3DS_3DS,2:34:07,9247
3DS_3DS,2:34:10,9250
3DS_3DS,2:35:55,9355
3DS_3DS,2:36:35,9395
3DS_3DS,2:38:02,9482
3DS_3DS,2:43:16,9796
3DS_3DS,2:55:21,10521
3DS_3DS,2:57:22,10642
3DS_3DS,2:58:18,10698
3DS_3DS,3:05:38,11138
3DS_3DS,3:08:09,11289
3DS_3DS,3:11:53,11513
3DS_3DS,3:29:33,12573
3DS_3DS,3:31:11,12671
3DS_3DS,3:34:04,12844
3DS_3DS,3:42:00,13320
3DS_3DS,3:45:05,13505
3DS_3DS,3:48:12,13692
3DS_3DS,4:02:24,14544
3DS_3DS,4:03:43,14623
3DS_3DS,4:06:52,14812
3DS_3DS,4:08:03,14883
3DS_3DS,4:08:21,14901
3DS_3DS,4:09:29,14969
3DS_3DS,4:12:43,15163
3DS_3DS,4:36:16,16576
3DS_3DS,4:57:28,17848
3DS_3DS,4:57:59,17879
3DS_3DS,5:33:06,19986
3DS_3DS,5:37:40,20260
3DS_3DS,5:56:36,21396
3DS_3DS,6:04:08,21848
3DS_3DS,6:16:46,22606
3DS_3DS,6:22:56,22976
3DS_3DS,6:23:29,23009
3DS_3DS,7:56:55,28615
3DS_3DS,8:02:18,28938
3DS_3DS,8:26:45,30405
3DS_3DS,8:30:45,30645
3DS_3DS,8:49:23,31763
3DS_3DS,9:18:52,33532
3DS_3DS,10:27:45,37665
3DS_3DS,10:30:28,37828
3DS_3DS,10:54:32,39272
3DS_3DS,11:57:37,43057
3DS_3DS,12:49:57,46197
3DS_3DS,13:59:18,50358
3DS_3DS,17:21:50,62510
3DS_BFS2_FFT,4:27:07,16027
3DS_BFS2_FFT,4:56:04,17764
3DS_BFS2_FFT,5:14:16,18856
3DS_BFS2_FFT,5:16:39,18999
3DS_BFS2_FFT,5:35:57,20157
3DS_BFS2_FFT,6:02:48,21768
3DS_BFS2_FFT,6:26:58,23218
3DS_BFS2_FFT,7:09:32,25772
3DS_BFS2_FFT,164:56:02,593762
3DS_BFS2_FFT,226:42:28,816148
3DS_BFS2_FFT,258:47:50,931670
3DS_BFS2_FFT,260:40:14,938414
3DS_BFS2_FFT,263:29:32,948572
3DS_BFS2_FFT,266:41:45,960105
3DS_BFS2_FFT,269:56:31,971791
3DS_BFS2_FFT,273:02:02,982922
3DS_BFS2_FFT,275:20:51,991251
3DS_BFS2_FFT,278:05:41,1001141
3DS_BFS2_FFT,278:17:31,1001851
3DS_BFS2_FFT,284:38:42,1024722
3DS_BFS2_FFT,286:57:13,1033033
3DS_BFS2_FFT,287:26:26,1034786
3DS_BFS2_FFT,287:39:28,1035568
3DS_BFS2_FFT,287:43:52,1035832
3DS_BFS2_FFT,287:44:37,1035877
3DS_BFS2_FFT,287:46:57,1036017
3DS_BFS2_FFT,287:55:16,1036516
3DS_BFS2_FFT,287:56:51,1036611
3DS_BFS2_RAY,73:13:43,263623
3DS_BFS2_RAY,73:37:21,265041
3DS_BFS2_RAY,73:50:27,265827
3DS_BFS2_RAY,73:54:18,266058
3DS_BFS2_RAY,73:57:07,266227
3DS_BFS2_RAY,133:26:52,480412
3DS_BFS2_RAY,167:25:57,602757
3DS_BFS2_RAY,182:56:05,658565
3DS_BFS2_RAY,184:26:17,663977
3DS_BFS2_RAY,185:43:49,668629
3DS_BFS2_RAY,187:50:06,676206
3DS_BFS2_RAY,188:22:28,678148
3DS_BFS2_RAY,189:27:25,682045
3DS_CFD,1:01:32,3692
3DS_CFD,1:04:41,3881
3DS_CFD,1:10:07,4207
3DS_CFD,1:11:28,4288
3DS_CFD,1:11:40,4300
3DS_CFD,1:13:11,4391
3DS_CFD,1:15:38,4538
3DS_CFD,1:15:42,4542
3DS_CFD,1:15:47,4547
3DS_CFD,1:17:14,4634
3DS_CFD,1:17:22,4642
3DS_CFD,1:17:29,4649
3DS_CFD,1:17:43,4663
3DS_CFD,1:18:00,4680
3DS_CFD,1:18:09,4689
3DS_CFD,1:19:21,4761
3DS_CFD,1:19:33,4773
3DS_CFD,1:19:37,4777
3DS_CFD,1:19:54,4794
3DS_CFD,1:21:42,4902
3DS_CFD,1:21:59,4919
3DS_CFD,1:23:14,4994
3DS_CFD,1:23:20,5000
3DS_CFD,1:23:48,5028
3DS_CFD,1:28:22,5302
3DS_CFD,1:30:24,5424
3DS_CFD,1:30:37,5437
3DS_CFD,1:32:53,5573
3DS_CFD,1:34:42,5682
