,,,,,,walltime_used
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
resources_used.cput=00:00:00,=00:00:00,=00:00:00,00:00:00,00,00:00,0
